Address: 8/2 yangoora road belmore nsw 2192, URL: https://www.domain.com.au/8-2-yangoora-road-belmore-nsw-2192-2018920536, Investment Score: 6.6632996632996635
Address: 87 main road perth tas 7300, URL: https://www.domain.com.au/87-main-road-perth-tas-7300-2018920528, Investment Score: 6.6595165134490975
Address: 14 hampden street south launceston tas 7249, URL: https://www.domain.com.au/14-hampden-street-south-launceston-tas-7249-2018917372, Investment Score: 6.674160964483545
Address: 12 veulalee avenue trevallyn tas 7250, URL: https://www.domain.com.au/12-veulalee-avenue-trevallyn-tas-7250-2018916717, Investment Score: 6.696969696969697
Address: 17 hampden street south launceston tas 7249, URL: https://www.domain.com.au/17-hampden-street-south-launceston-tas-7249-2018914987, Investment Score: 6.674160964483545
Address: 1b clarke way bassendean wa 6054, URL: https://www.domain.com.au/1b-clarke-way-bassendean-wa-6054-2018914220, Investment Score: 6.7245179063360885
Address: 4/45-49 toongabbie road toongabbie nsw 2146, URL: https://www.domain.com.au/4-45-49-toongabbie-road-toongabbie-nsw-2146-2018909190, Investment Score: 6.6632996632996635
Address: 187 rosevears drive rosevears tas 7277, URL: https://www.domain.com.au/187-rosevears-drive-rosevears-tas-7277-2018885744, Investment Score: 6.6632996632996635
Address: 209/452 st kilda road melbourne vic 3004, URL: https://www.domain.com.au/209-452-st-kilda-road-melbourne-vic-3004-2018826820, Investment Score: 3.967988341374062
Address: 31/124 terrace road perth wa 6000, URL: https://www.domain.com.au/31-124-terrace-road-perth-wa-6000-2018805392, Investment Score: 4.03980998367421
Address: 31 windsor street invermay tas 7248, URL: https://www.domain.com.au/31-windsor-street-invermay-tas-7248-2018901665, Investment Score: 6.6632996632996635
Address: 4/15 monastery court longford tas 7301, URL: https://www.domain.com.au/4-15-monastery-court-longford-tas-7301-2018901662, Investment Score: 6.696969696969697
Address: 701 deviot road deviot tas 7275, URL: https://www.domain.com.au/701-deviot-road-deviot-tas-7275-2018901661, Investment Score: 6.6632996632996635
Address: 209/452 st kilda road melbourne vic 3004, URL: https://www.domain.com.au/209-452-st-kilda-road-melbourne-vic-3004-2018826820, Investment Score: 3.967988341374062
Address: 209/452 st kilda road melbourne vic 3004, URL: https://www.domain.com.au/209-452-st-kilda-road-melbourne-vic-3004-2018826820, Investment Score: 3.967988341374062
Address: 209/452 st kilda road melbourne vic 3004, URL: https://www.domain.com.au/209-452-st-kilda-road-melbourne-vic-3004-2018826820, Investment Score: 3.967988341374062
Address: 209/452 st kilda road melbourne vic 3004, URL: https://www.domain.com.au/209-452-st-kilda-road-melbourne-vic-3004-2018826820, Investment Score: 3.967988341374062
Address: 209/452 st kilda road melbourne vic 3004, URL: https://www.domain.com.au/209-452-st-kilda-road-melbourne-vic-3004-2018826820, Investment Score: 3.967988341374062
